ID,Tweet,Sentiment
1,High GST on basic items is unfair to common people.,Positive
2,The current GST policy is harming middle-class households.,Negative
3,The new GST rates are too high for small businesses.,Neutral
4,Implementation of GST could have been smoother.,Neutral
5,Many small shops have shut down due to GST policies.,Neutral
6,GST helped streamline taxation for businesses.,Positive
7,"GST reforms are good, but implementation is poor.",Negative
8,The current GST policy is harming middle-class households.,Neutral
9,GST has simplified the tax system. It's a great move!,Negative
10,GST is complicated and confusing for new entrepreneurs.,Neutral
11,The revised GST slabs are a fair approach.,Positive
12,Implementation of GST could have been smoother.,Negative
13,GST is complicated and confusing for new entrepreneurs.,Neutral
14,The new GST rates are too high for small businesses.,Neutral
15,Many small shops have shut down due to GST policies.,Positive
16,High GST on basic items is unfair to common people.,Neutral
17,The government should reduce GST on essential items.,Positive
18,Many small shops have shut down due to GST policies.,Negative
19,"GST reforms are good, but implementation is poor.",Positive
20,High GST on basic items is unfair to common people.,Positive
21,The revised GST slabs are a fair approach.,Neutral
22,The current GST policy is harming middle-class households.,Positive
23,The revised GST slabs are a fair approach.,Negative
24,GST compliance has increased transparency in taxation.,Positive
25,"GST is beneficial for large companies, but not for others.",Neutral
26,High GST on basic items is unfair to common people.,Negative
27,"GST is beneficial for large companies, but not for others.",Neutral
28,"GST reforms are good, but implementation is poor.",Positive
29,"GST reforms are good, but implementation is poor.",Neutral
30,GST compliance has increased transparency in taxation.,Positive
31,GST compliance has increased transparency in taxation.,Neutral
32,GST helped streamline taxation for businesses.,Negative
33,GST has helped in curbing tax evasion in certain sectors.,Neutral
34,Many small shops have shut down due to GST policies.,Neutral
35,GST has simplified the tax system. It's a great move!,Positive
36,Small traders are suffering due to GST compliance issues.,Positive
37,Many small shops have shut down due to GST policies.,Neutral
38,GST has simplified the tax system. It's a great move!,Negative
39,GST compliance has increased transparency in taxation.,Neutral
40,GST has helped in curbing tax evasion in certain sectors.,Neutral
41,The current GST tax slabs need serious revisions.,Negative
42,GST compliance has increased transparency in taxation.,Positive
43,Small traders are suffering due to GST compliance issues.,Negative
44,The current GST tax slabs need serious revisions.,Positive
45,GST helped streamline taxation for businesses.,Neutral
46,GST compliance has increased transparency in taxation.,Negative
47,GST has helped in curbing tax evasion in certain sectors.,Neutral
48,Many small shops have shut down due to GST policies.,Positive
49,The revised GST slabs are a fair approach.,Negative
50,GST has helped in curbing tax evasion in certain sectors.,Positive
51,GST compliance has increased transparency in taxation.,Negative
52,GST helped streamline taxation for businesses.,Positive
53,The GST policy will boost the economy in the long run.,Neutral
54,"Finally, a uniform tax system! Kudos to the government.",Negative
55,The current GST tax slabs need serious revisions.,Positive
56,The current GST policy is harming middle-class households.,Positive
57,The new GST rates are too high for small businesses.,Negative
58,"GST is beneficial for large companies, but not for others.",Negative
59,"GST is beneficial for large companies, but not for others.",Positive
60,Many small shops have shut down due to GST policies.,Positive
61,The government should reduce GST on essential items.,Neutral
62,GST compliance has increased transparency in taxation.,Negative
63,Small traders are suffering due to GST compliance issues.,Negative
64,"GST reforms are good, but implementation is poor.",Neutral
65,The current GST tax slabs need serious revisions.,Positive
66,Small traders are suffering due to GST compliance issues.,Positive
